code,name,cat,verdict,detail
028473,南方稳健多策略3个月持有混合(FOF)A,fof,no_series,
000658,银华活钱宝货币B,money_market,stale_only,Data_millionCopiesIncome@2024-12-26
003244,摩根中国世纪混合(QDII)美元现钞,qdii_fx_share,no_series,
002253,融通成长30灵活配置混合A(后端),other,no_series,
398012,中海分红增利混合(后端),money_market,no_series,
023206,兴全合辰混合C,backend_share,no_series,
018404,富安达智优量化选股混合型发起式C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-04
026650,易方达如意安惠6个月持有混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
002717,红塔红土盛隆灵活配置A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-31
027972,金鹰丰誉混合A,other,no_series,
161018,富国天丰强化债券(LOF)A(后端),bond_periodic,no_series,
202028,南方高端装备混合A(后端),other,no_series,
508036,平安宁波交投REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-12-09
519684,交银双利债券A/B(后端),bond_periodic,no_series,
960033,农银消费主题混合H,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2020-05-25
960036,易方达价值成长混合I,backend_share,no_series,
051016,博时宏观回报债券A/B(后端),bond_periodic,no_series,
519705,交银先进制造混合A(后端),other,no_series,
027236,富国港股通科技混合A,other,no_series,
027937,光大保德信稳健丰盈三个月持有期混合(ETF-FOF)A,fof,no_series,
026950,广发招瑞多元机遇6个月持有混合(FOF)A,fof,no_series,
027753,华安中证汽车零部件主题指数发起式A,other,no_series,
028223,永赢承鑫混合A,other,no_series,
028279,汇添富多资产优选三个月持有混合(FOF)A,fof,no_series,
028440,长盛聚益债券A,bond_periodic,no_series,
028392,天弘慧选增利6个月持有混合C,money_market,no_series,
002012,华夏红利混合(后端),other,no_series,
017591,汇添富添福智富均衡养老目标三年持有混合发起(FOF),fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-17
001654,国联安添鑫灵活配置混合C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-01
022872,南方耀元债券C,bond_periodic,no_series,
019057,百嘉百川30天持有纯债债券C,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-06
017267,招商乐颐和惠养老目标日期2035三年持有混合发起式FOF,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-14
020805,国投瑞银和嘉债券A,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-07-05
024028,招商均衡优选混合C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-09-03
019187,中银证券和瑞一年持有混合A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-25
026697,人保安悦债券A,bond_periodic,no_series,
027798,华夏优享回报混合C,backend_share,no_series,
161228,国投瑞银深证100指数(后端),other,no_series,
161602,融通新蓝筹混合(后端),other,no_series,
027607,易方达上证科创板芯片设计主题ETF联接C,etf_lof,no_series,
202020,南方策略优化混合(后端),other,no_series,
508018,华夏中国交建REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2022-04-12
270015,广发聚丰混合A(后端),other,no_series,
508058,中金厦门安居REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2025-06-29
